12,12
10, 12, 8, 14, 13, 16, 15, 11, 9, 20, 7, 10
13, 9, 7, 12, 15, 14, 8, 10, 18, 17, 14, 11
8, 7, 9, 15, 14, 16, 13, 11, 10, 12, 15, 16
10, 13, 9, 16, 15, 10, 14, 8, 13, 18, 9, 10
16, 14, 11, 8, 10, 15, 12, 9, 13, 18, 17, 15
11, 12, 14, 15, 10, 13, 9, 16, 11, 10, 11, 12
12, 14, 15, 10, 13, 9, 16, 11, 10, 12, 12, 14
14, 15, 10, 13, 9, 16, 11, 10, 12, 14, 14, 15
15, 10, 13, 9, 16, 11, 10, 12, 14, 15, 15, 10
10, 13, 9, 16, 11, 10, 12, 14, 15, 10, 10, 13
13, 9, 16, 11, 10, 12, 14, 15, 10, 13, 13, 9
9, 16, 11, 10, 12, 14, 15, 10, 13, 9, 9, 16
16, 11, 10, 12, 14, 15, 10, 13, 9, 16, 16, 11
11, 10, 12, 14, 15, 10, 13, 9, 16, 11, 11, 10
10, 12, 14, 15, 10, 13, 9, 16, 11, 10, 10, 12
120, 150, 130, 180, 110, 140, 100, 160, 170, 150, 120, 150
120, 150, 100, 130, 160, 180, 140, 110, 170, 150, 120, 150
